ID	fName	Age	Gender	Helmet	Lock	ES_number						
1	Matthew	59	m	0	0	987						
2	William	60	m	1	1	626						
5	Ryan	22	m	1	0	656						
6	Oliver	61	m	1	1	886						
7	Jordan	64	m	0	1	327						
8	Dylan	67	m	0	1	344						
9	Logan	26	m	1	0	844						
13	Connor	61	m	0	0	198						
14	Alexander	35	m	1	1	452						
15	Michael	27	m	1	1	541						
16	Nathan	32	m	1	0	324						
26	Mitchell	33	m	1	1	991						
27	Hamish	18	m	0	0	141						
28	Ben	22	m	0	1	722						
29	Callum	26	t	1	1	743						
30	David	50	m	0	1	153						
31	Isaac	18	m	0	0	421						
32	Cody	60	m	1	1	731						
39	Brianna	74	f	1	1	559						
40	Natasha	31	f	1	0	267						
41	Chelsea	60	f	0	1	885						
42	Nikita	77	f	1	1	322						
43	Rose	35	f	1	1	709						
44	Aimee	67	f	1	0	973						
45	Paris	64	f	1	1	663						
